dimension,primary_level,city_level_question,area_level_question,why,data_sources,source_ids,page_action
签证/合法停留,城市级,这个家庭按各自护照和居留身份能否合法停留约 90 天？,无有意义片区差异。,法律规则由国家/申根区决定，住在哪个片区不会改变允许停留天数、签证类别或延期规则。,官方移民/领馆/eVisa/申根规则,LIS_VISA_01;EU_VISA_01;TH_VISA_01;TH_VISA_02;TH_VISA_03;TH_DTV_01,只放城市级硬约束表，不进入片区表。
官方安全建议,城市级,官方旅行建议是否对目的地给出安全等级或区域性警告？,如果警告涉及具体城市区域，再拆到片区；本轮没有足够片区化安全数据。,旅行建议通常按国家或大区域发布，不能用住宅街区数据替代官方风险等级。,加拿大/英国/美国旅行建议,CAN_PT_01;CAN_TH_01;S-LIS-009;UK_TH_01;US_PT_01;US_TH_01,只放城市级硬约束表；若未来发现具体区警告再单列。
气候/季节,城市级为主,目标月份的温度、雨季、热季是否适合幼儿重复户外生活？,片区只影响有没有室内 fallback 和步行遮阴，不能改变季节本身。,温度和降雨先决定 90 天窗口是否合适；日常应对能力再由片区设施决定。,气象官方入口/Open-Meteo/WeatherSpark,OPEN_METEO_CLIMATE_01;LIS_CLIM_01;TH_TMD_CLIMATE_01;TH_TMD_MONTHLY_01;CM_CLIM_01,城市级判断季节；片区表只承接 fallback 压力。
空气质量,城市级为主,PM2.5 是否构成目标月份硬约束？,片区只看住房净化器和室内活动是否能缓解，不能把烟季风险消除。,清迈烟季是盆地/城市级问题；里斯本空气风险也应先用城市站点和模型判断。,官方空气监测/Open-Meteo/IQAir/旅行建议,TH_AIR4THAI_01;TH_PCD_NORTH_01;CM_AIR_02;OPEN_METEO_AIR_01;LIS_AIR_01;LIS_AIR_02;CM_AIR_01;CM_AIR_03,城市级表给红线；片区表只标注 indoor/净化器缺口。
住房成本/供应,双层,这个城市的家庭短中租价格带和供应类型是什么？,每个候选片区能否找到可带娃运行的整租，价格、楼龄、洗衣、电梯、空调/供暖是否不同？,价格带是城市级，但真实可住性高度依赖片区、楼龄和房源条件。,住房平台样本/统计背景/房源评论,EUROSTAT_HOUSING_01;INE_HOUSING_01;INE_HOUSING_02;LISH_01-LISH_10;CMH_01-CMH_10;S-CMI-020;S-CMI-021;S-CMI-023;S-CMI-024;S-CMI-025,城市级表保留价格带；片区表必须列各区住房含义。
儿童日常户外活动,片区级,城市有没有儿童活动资源？,1km 步行半径内是否有可重复使用的 playground/park/open space？,幼儿每天要重复消耗体力；全城景点数量不能证明住处日常可运行。,OSM/Overpass/Google Maps/市政公园/场馆页/评论,OSM_POI_01;LIS_PARKS_01;LIS_PARKS_02;LIS_CHILD_04;LIS_CHILD_05;CM_PARK_NONG_01;CM_PARK_NONG_02;CM_CHILD_08,作为片区表核心列，按 1km 和 5km 分开。
室内 fallback,片区级,城市是否有室内亲子资源？,从候选片区到室内 play、kids cafe、商场、图书馆、泳池是否低摩擦？,雨天、热天、烟季时，距离决定它是不是生活工具，而不是一次性活动。,场馆官网/地图/本地家庭指南/评论,LIS_CHILD_01;LIS_CHILD_02;LIS_CHILD_06;LIS_CHILD_07;CM_CHILD_04;CM_CHILD_06;CM_CHILD_07;CM_CHILD_11,片区表标明当前是否已落到具体片区；未落地的标为缺口。
结构化儿童活动/社交,双层,城市是否存在 playgroup、课程、worldschool 或家长社区？,这些活动离住处多远、是否适龄、是否短期可加入？,社群存在是城市级信号，但每周能否参与取决于距离、时间和年龄适配。,Meetup/课程官网/社区帖子,LIS_CHILD_02;LIS_CHILD_10;CM_CHILD_09;CM_CHILD_10;CM_CHILD_12,城市级说明生态；片区级需要补路线和适龄确认。
医疗网络,双层,城市是否有儿童急诊、私立医院、外籍可用医疗路径？,从每个候选片区到儿童急诊/私立医院是否在可接受时间内？,医院存在是城市级门槛；幼儿发烧、摔伤、呼吸问题时，住处到医院的路径是片区级风险。,医院官网/地图/社区医生推荐,LIS_HEALTH_01;LIS_HEALTH_02;LIS_HEALTH_03;LIS_HEALTH_04;CM_HEALTH_01;CM_HEALTH_02;CM_HEALTH_03;CM_HEALTH_04,城市级确认路径；片区表写 1km 医疗 POI 和需补车程。
日常买菜/药房/洗衣,片区级,城市是否有成熟日常服务？,1km 内 grocery、pharmacy、laundry 是否足够，是否能每天低摩擦处理？,这类需求高频且带娃重复发生，城市平均值没有实用意义。,OSM/Overpass/Google Maps/房源样本,OSM_POI_01;LISH_01-LISH_10;CMH_01-CMH_10,作为片区表核心列。
无车移动性,片区级,城市是否有公共交通、打车或 Grab/Bolt/Uber？,每个片区是否可以少打车、推车是否现实、儿童座椅问题是否会高频出现？,交通系统是城市级背景，但日常摩擦由住处半径和路线决定。,交通官网/OSM/平台政策/社区反馈,LIS_MOB_01;LIS_MOB_02;LIS_MOB_03;LIS_MOB_04;LIS_MOB_05;CM_MOB_01;CM_MOB_02;CM_MOB_03;CM_MOB_04,片区表必须区分步行型和车程型区域。
文化/自然体验,双层,城市是否有足够文化和自然资源支撑 3 个月慢旅？,住处是否让这些资源变成每周生活，而不是远距离景点？,文化自然资源先城市级判断，但是否低摩擦重复使用需要片区半径承接。,官方旅游/地图/家庭活动指南/社区反馈,LIS_CHILD_07;CM_CITY_CULTURE_01;CM_CHILD_01;CM_CHILD_02;CM_CHILD_03,城市级描述资源基底；片区表只写可重复性。
社区反馈,overlay,城市层面是否有反复出现的家庭/外籍/慢旅主题？,这些反馈是否指向具体片区、街段、房源或交通路径？,社区反馈不能单独替代事实，但能解释官方/平台数据在生活中怎样变成摩擦。,Reddit/论坛/博客/评论,LIS_COMM_04;LIS_COMM_05;LIS_COMM_07;LIS_COMM_08;CM_COMM_04;CM_COMM_08;CM_COMM_09;CM_COMM_10;CM_COMM_11;CM_COMM_12;CM_COMM_13,不再作为孤立层；贴回住房、空气、交通、儿童活动等维度。
